Cesar Millan,ESFP
Chian Reynolds,ESFP
Chow Lee,ESFP
Chris Brown,ESFP
Chris Crocker,ESFP
Chris Pratt,ESFP
Christian Malone,ESFP
Craig Ferguson,ESFP
Damiano David,ESFP
Diddy,ESFP
Diego Maradona,ESFP
Donna Summer,ESFP
Dr. Katie Bowman,ESFP
Drew Barrymore,ESFP
Eddie Murphy,ESFP
Elizabeth Moss,ESFP
Eric Persson,ESFP
Faith Evans,ESFP
Ffion Davies,ESFP
Floyd Mayweather,ESFP
Ice Cube,ESFP
Jaden Smith,ESFP
Jazz Jennings,ESFP
Jewel Kilcher,ESFP
JiDion,ESFP
Jimmy Page,ESFP
Joe Exotic,ESFP
John (MLD),ESFP
Josie Canseco,ESFP
Joy Beckerman,ESFP
KSI,ESFP
Kelsey Nicole,ESFP
Khia Simone,ESFP
Kyle Kuliaski,ESFP
Kyle Lowry,ESFP
Lee Suhyun,ESFP
Lil Wayne,ESFP
Liza Koshy,ESFP
Lovely Peaches,ESFP
Malala Yousafzai,ESFP
Marty Scwartz,ESFP
Matt Kerekes,ESFP
Meegan Thee Stallion,ESFP
Michael League,ESFP
Michael Malice,ESFP
Mike Matusow,ESFP
Mizkif,ESFP
Mulatto,ESFP
Nicki Minaj,ESFP
Nicocado Avocado,ESFP
Notorious B.I.G.,ESFP
Pamela Anderson,ESFP
Patrice O'Neil,ESFP
Pauly D,ESFP
Pop Smoke,ESFP
Rain Stone,ESFP
Redfoo,ESFP
Reggie Watts,ESFP
Rick Warren,ESFP
Sam Morril,ESFP
Sam Ovens,ESFP
Sean Strickland,ESFP
Shaneka Adams,ESFP
Simon Cowell,ESFP
Snoop Dogg,ESFP
Starr Dawkins,ESFP
Steve Irwin,ESFP
Steven Drozd,ESFP
Steven Tyler,ESFP
Tamera Mowry-Housley,ESFP
Taylor Swift,ESFP
Tila Tequila,ESFP
Tokyo Toni,ESFP
Tory Lanez,ESFP
Trippie Redd,ESFP
Wendy Williams,ESFP
Wilmer valderrama,ESFP
Yung Miami,ESFP
Zan Perrion,ESFP
jschlatt,ESFP
ASAP Rocky,ENTP
Aaron Gillespie,ENTP
Adam Driver,ENTP
Adam Neely,ENTP
Alan Hofmanis,ENTP
Alec Benjamin,ENTP
Alex O'Conner,ENTP
Alexandra Botez,ENTP
Alicia Keys,ENTP
Amy Winehouse,ENTP
Andrej Karpathy,ENTP
Andrew Schulz,ENTP
Andrew Tate,ENTP
Anna Nalick,ENTP
Ashton Kutcher,ENTP
Aubrey Plaza,ENTP
Avril Lavigne,ENTP
Baylen Levine,ENTP
Bella Ramsey,ENTP
Ben Joliffe,ENTP
Bigga,ENTP
Bill Hicks,ENTP
Bo Burnham,ENTP
Bob Dylan,ENTP
Bob Morley,ENTP
Brandon Boyd,ENTP
Brent Faiyaz,ENTP
Brett Cooper,ENTP
Brett Gelman,ENTP
Brian Molko,ENTP
Cameron Monaghan,ENTP
Charlie Day,ENTP
Charlie Kaufman,ENTP
Charlie Sheen,ENTP
Chris Motionless,ENTP
Christian Bale,ENTP
Cillian Murphy,ENTP
Colin Farrell,ENTP
Convolk,ENTP
DMX,ENTP
Daniel Jungleman Cates,ENTP
Dave Chappelle,ENTP
David Goggins,ENTP
David Wood,ENTP
Dax,ENTP
Derek (MPMD),ENTP
Derrick Jaxn,ENTP
Donald Glover,ENTP
Doug Polk,ENTP
Dr Disrespect,ENTP
Duncan Trussel,ENTP
Ellen Degeneres,ENTP
Emma Stone,ENTP
Emmanuel Macron,ENTP
Eve Hewson,ENTP
Fedor Holz,ENTP
Finn Wolfhard,ENTP
Flamingo,ENTP
Frank Ocean,ENTP
Gaz Beadle,ENTP
Glenn Gould,ENTP
Hank Green,ENTP
Harlan Ellison,ENTP
Heath Ledger,ENTP
Hugh Hefner,ENTP
Imon Gadhzi,ENTP
Jack Stauber,ENTP
Jacksepticeye,ENTP
James Franco,ENTP
Jamie Campbell Bower,ENTP
Jason Silva,ENTP
Jeff Montalvo,ENTP
Jerry Seinfeld,ENTP
Jesse Eisenberg,ENTP
Jim Carrey,ENTP
Joe Scott,ENTP
John Green,ENTP
John Karony,ENTP
John McAfee,ENTP
Johnny Depp,ENTP
Johnny Thunders,ENTP
Jose Zuniga,ENTP
Julian Casablancas,ENTP
Julien Blanc,ENTP
Jussie Smollett,ENTP
Kanye West,ENTP
Karl Pilkington,ENTP
Kathleen Hanna,ENTP
Kendrick Lamar,ENTP
Kimbal Musk,ENTP
LL Cool J,ENTP
Layne Staley,ENTP
LeanBeefPatty,ENTP
Leonardo DiCaprio,ENTP
Levy Rozman,ENTP
Lex Fridman,ENTP
Logan Paul,ENTP
Logic,ENTP
Lucas Pope,ENTP
Luke Alexander,ENTP,SDSF
Lynda Resnick,ENTP
Mac Miller,ENTP
Machine Gun Kelly,ENTP
Malcolm X,ENTP
Mark Manson,ENTP
MatPat,ENTP
Matt O'Dowd,ENTP
Matthew Hussey,ENTP
Matthew Tye,ENTP
Michael C Hall,ENTP
Mike Patton,ENTP
Moran Cerf,ENTP
Morris Beegle,ENTP
Myron Gaines,ENTP
Neil Peart,ENTP
Neil Strauss,ENTP
Nick Fuentes,ENTP
Nicolas Cage,ENTP
